project_name,tax_id,commodity,location,region,concession_size,value,value_type,value_unit,year,lat,long
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,,Dividend,GHS,2006,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,,Dividend,GHS,2007,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,,Dividend,GHS,2008,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Dividend,GHS,2009,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Dividend,GHS,2010,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Dividend,GHS,2011,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Dividend,GHS,2012,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Dividend,GHS,2013,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,15900.0,Property rate,GHS,2006,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,30000.0,Property rate,GHS,2007,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,30000.0,Property rate,GHS,2008,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Property rate,GHS,2009,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Property rate,GHS,2010,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Property rate,GHS,2011,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Property rate,GHS,2012,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Property rate,GHS,2013,6.452944,-2.3149591
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Royalties,GHS,2006,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Royalties,GHS,2007,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Royalties,GHS,2008,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Royalties,GHS,2009,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Royalties,GHS,2010,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,6729929.0,Royalties,GHS,2011,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,16256814.0,Royalties,GHS,2012,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,14925065.0,Royalties,GHS,2013,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Corporate income tax,GHS,2006,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Corporate income tax,GHS,2007,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Corporate income tax,GHS,2008,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Corporate income tax,GHS,2009,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Corporate income tax,GHS,2010,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,Corporate income tax,GHS,2011,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,Corporate income tax,GHS,2012,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,Corporate income tax,GHS,2013,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Ground rent,GHS,2006,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Ground rent,GHS,2007,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Ground rent,GHS,2008,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Ground rent,GHS,2009,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Ground rent,GHS,2010,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,Ground rent,GHS,2011,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,Ground rent,GHS,2012,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,Ground rent,GHS,2013,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Dividend,GHS,2006,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Dividend,GHS,2007,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Dividend,GHS,2008,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Dividend,GHS,2009,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Dividend,GHS,2010,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,Dividend,GHS,2011,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,Dividend,GHS,2012,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,Dividend,GHS,2013,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Property rate,GHS,2006,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Property rate,GHS,2007,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Property rate,GHS,2008,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,NA,Property rate,GHS,2009,4.95613,-1.74714
