name,tax_id,commodity,location,region,concession_size,value,value_type,value_unit,year,lat,long
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,28177714.0,revenue,GHS,2013,5.5141878,-1.8634682
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,1513557.0,revenue,GHS,2006,6.26999,-2.31648
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,1822177.0,revenue,GHS,2007,6.26999,-2.31648
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,3320828.0,revenue,GHS,2008,6.26999,-2.31648
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,5697177.0,revenue,GHS,2009,6.26999,-2.31648
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,17262516.0,revenue,GHS,2010,6.26999,-2.31648
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,48077866.0,revenue,GHS,2011,6.26999,-2.31648
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,192122239.0,revenue,GHS,2012,6.26999,-2.31648
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,122492800.0,revenue,GHS,2013,6.26999,-2.31648
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,1304324.0,revenue,GHS,2006,6.97449,-2.37935
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,8823693.0,revenue,GHS,2007,6.97449,-2.37935
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,12658757.0,revenue,GHS,2008,6.97449,-2.37935
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,20656555.0,revenue,GHS,2009,6.97449,-2.37935
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,26624466.0,revenue,GHS,2010,6.97449,-2.37935
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,151110670.0,revenue,GHS,2011,6.97449,-2.37935
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,291273113.0,revenue,GHS,2012,6.97449,-2.37935
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,226405055.0,revenue,GHS,2013,6.97449,-2.37935
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,,revenue,GHS,2006,6.33856,-0.99564
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,,revenue,GHS,2007,6.33856,-0.99564
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,           ,revenue,GHS,2008,6.33856,-0.99564
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,,revenue,GHS,2009,6.33856,-0.99564
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,,revenue,GHS,2010,6.33856,-0.99564
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,,revenue,GHS,2011,6.33856,-0.99564
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,-,revenue,GHS,2012,6.33856,-0.99564
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,8342795.0,revenue,GHS,2013,6.33856,-0.99564
